Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2018-06-13,nirogstreet,healthcare,an online platform that connects ayurveda doctors with patients,gurugram,"spiral ventures, subho ray and samir kumar",Seed/ Angel Funding,2.5,6.0,2018.0
2018-06-13,nivesh,finance,mass market mutual fund investment platform,noida,"letsventure, rajan anandan, basab pradhan, vivek khare and bijoy george",Seed/ Angel Funding,3.76,6.0,2018.0
2018-06-14,homelane,consumer internet,online home furnishing solutions,bengaluru,brand capital,Seed/ Angel Funding,28.81,6.0,2018.0
2018-06-14,network intelligence,technology,cybersecurity specialist,mumbai,helix investments,Private Equity,40.08,6.0,2018.0
2018-06-18,tynor othontics,healthcare,prosthetics manufacturers,chandigarh,lighthouse funds & thuasne participations,Private Equity,8.35,6.0,2018.0
2018-06-18,elucidata,it,data analytics (saas),delhi & cambridge,hyperplane venture capital and several angel investors,Seed/ Angel Funding,14.2,6.0,2018.0
2018-06-19,rentsher,consumer internet,online rental marketplace,bengaluru,"shorooq investments, letsventure & others",Seed/ Angel Funding,9.19,6.0,2018.0
2018-06-20,drip capital,finance,trade finance firm,mumbai,"accel partners, sequoia india, y combinator and others.",Private Equity,125.25,6.0,2018.0
2018-06-22,wickedride,consumer internet,online motorbike and scooter rental platforms,bengaluru,"sequoia capital, accel partners & raghunandan gangappa",Private Equity,75.98,6.0,2018.0
2018-06-25,hipbar,consumer internet,digital payment platform for beverage delivery,bengaluru,diageo india,Private Equity,33.4,6.0,2018.0
2018-06-25,sqqrl,finance,app-based investment platform,gurugram,equanimity venture fund,Seed/ Angel Funding,8.35,6.0,2018.0
2018-06-26,paytm,technology,digital payment platform,noida,one 97 communications,Private Equity,74.73,6.0,2018.0
2018-06-26,sigtuple,healthcare,data driven intelligence solutions platform,bengaluru,"accel partners, idg venture, endiya partners, pi ventures, vh capital, axilor ventures and binny bansal",Private Equity,158.65,6.0,2018.0
2018-06-27,wow express,technology,e-commerce logistics platform,mumbai,undisclosed existing investors as well as the tamarind family trust,Private Equity,37.58,6.0,2018.0
2018-06-28,front desk ai,technology,an ai platform offering automated customer service software,bengaluru,speciale invest & others,Seed/ Angel Funding,9.19,6.0,2018.0
2018-05-02,opentap,finance,online lending platform,chennai,unknown high net-worth individuals,Seed / Angel Funding,3.76,5.0,2018.0
2018-05-03,disprz,it,saas,chennai,"il&fs private equity, kae capital & others",Seed / Angel Funding,4.17,5.0,2018.0
2018-05-07,paisadukan,consumer internet,p2p lending platform,mumbai,,Seed / Angel Funding,0.04,5.0,2018.0
2018-05-09,i3sysytems,technology,ai product company for health and life insurane companies,mumbai,"unitus ventures, behram vakil and jerxis vandrevala",Seed / Angel Funding,8.35,5.0,2018.0
2018-05-11,earth food,consumer internet,agri-tech,pune,rairah corporation,Seed / Angel Funding,7.92,5.0,2018.0
2018-05-14,nykaa,consumer internet,beauty e-tailer,mumbai,"sunil munjal, harsh mariwala, dalip pathak and others",Private Equity,33.4,5.0,2018.0
2018-05-16,mfine,healthcare,doctor-consultation app,bengaluru,"prime venture partners, stellaris venture partners and mayur abhaya srisrimal",Private Equity,35.07,5.0,2018.0
2018-05-21,rocketium,technology,online video creation platform,bengaluru,blume ventures,Seed/ Angel Funding,2.5,5.0,2018.0
2018-05-21,milkbasket,technology,micro-delivery grocery startup,gurugram,"kalaari capital, unilever ventures and blume ventures",Private Equity,58.45,5.0,2018.0
2018-05-22,vola,finance,micro lending platform,bengaluru,credika and unnamed angel investors,Seed/ Angel Funding,4.17,5.0,2018.0
2018-05-22,cashkumar,consumer internet,p2p lending platform,bengaluru,letsventure,Seed/ Angel Funding,6.14,5.0,2018.0
2018-05-23,edyoo,e-commerce,products for shoolgoing children,bengaluru,rs shanbag,Seed/ Angel Funding,6.14,5.0,2018.0
2018-05-24,bonphulapl,clean-tech,oxygen optimiser manufacturer,delhi,atul gupta and saurabh rastogi,Seed/ Angel Funding,0.78,5.0,2018.0
2018-05-27,acko,consumer internet,online insurance platform,mumbai,"amazon, ashish dhawan, catamaran ventures, nr narayana murthy.",Seed/ Angel Funding,100.2,5.0,2018.0
2018-05-29,toffee,consumer internet,online insurance platform,gurugram,"kalaari capital, omidyar network and accion venture labs",Seed/ Angel Funding,12.53,5.0,2018.0
2018-05-29,tonetag,technology,mobile payments technology platform,bengaluru,amazon inc. and mastercard,Private Equity,66.8,5.0,2018.0
2018-05-30,stellaps,technology,iot application platform in agriculture,bengaluru,"indusage partners, bill & melinda gates foundation, qualcomm venture, abb technology ventures, omnivore, blume ventures, venture highway and beenext",Private Equity,116.9,5.0,2018.0
2018-05-31,credright,consumer internet,lending platform for smes,hyderabad,"accion venture lab, yournest venture capital and other angel investors",Seed/ Angel Funding,10.86,5.0,2018.0
2018-04-02,synctag,technology,social media anlaytics platform,coimbatore,subhkam ventures and mohit khadaria,Seed / Angel Funding,2.57,4.0,2018.0
2018-04-02,finzy,consumer internet,online loan matchmaking platform,bengaluru,,Seed / Angel Funding,10.86,4.0,2018.0
2018-04-04,varthana,finance,loans and services to affordable private schools in india,bengaluru,"chryscapital, existing investors, elevar equity, lgt impact, omidyar network and kaizen private equity also participated in the round",Private Equity,459.25,4.0,2018.0
2018-04-05,indigolearn,ed-tech,online education platform,hyderabad,"maheshwar peri, founder and chairman of career information portal careers360, and jamshed jeejeebhoy, director at byramjee jeejeebhoy pvt. ltd were among the angels",Seed / Angel Funding,1.25,4.0,2018.0
2018-04-05,vedantu,ed-tech,interactive online tutoring platform,bangalore,"accel partners, tiger global and others",Private Equity,83.5,4.0,2018.0
2018-04-09,kaleidofin,fiinance,digital financial services platform,chennai,omidyar network. blume ventures and professor shlomo ben-haim,Seed / Angel Funding,6.68,4.0,2018.0
2018-04-09,pipabella,consumer internet,fashion accessories etailer,mumbai,fireside ventures,Seed / Angel Funding,8.35,4.0,2018.0
2018-04-09,kriger campus,ed-tech,mobile-based education network,delhi,,Seed / Angel Funding,0.39,4.0,2018.0
2018-04-10,traveltriangle,consumer internet,online travel marketplace,gurugram,"fundamentum, saif partners, bessemer venture partners, rb investments & others",Private Equity,100.2,4.0,2018.0
2018-04-12,letsmd,healthcare,platform to discover healthcare financing options,delhi,"sri capital, waterbridge ventures and thinkuvate",Seed / Angel Funding,8.35,4.0,2018.0
2018-04-12,ayefinance,finance,online lending platform,gurugram,"blueorchard finance ltd, hinduja leyland finance and intellegrow",Debt Funding,38.41,4.0,2018.0
2018-04-16,icanstay,consumer internet,online platform for luxury hotel stay for business travelers,delhi,mr. manoj prasad,Seed / Angel Funding,4.17,4.0,2018.0
2018-04-19,fyle technologies,technology,ai based expense management platform,bengaluru,pravega ventures and beenext,Seed / Angel Funding,9.19,4.0,2018.0
2018-04-19,true balance,technology,mobile balance checking app,gurugram,"line ventures corporation, line corp, naver, shinhan bank and ts investment",Private Equity,25.05,4.0,2018.0
2018-04-22,doxper,healthcare,digitized health-tech solutions for practitioners,mumbai,vidal healthcare,Seed / Angel Funding,15.87,4.0,2018.0
2018-04-22,nykaa,consumer internet,beauty e-tailer,mumbai,"sunil munjal, harsh mariwala, dalip pathak and others",Private Equity,91.85,4.0,2018.0
2018-04-23,mihuru,finance,online platform providing micro loans for air travel,mumbai,,Seed / Angel Funding,1.25,4.0,2018.0
2018-04-25,trip shelf,consumer internet,online travel marketplace,delhi,"gems advisory, alok mittal and sachin bhatia",Seed / Angel Funding,0.38,4.0,2018.0
2018-04-26,popxo,technology,women focussed digital media platform,delhi,"neoplux, oppo, idg ventures india, kalaari capital, gree ventures and summit media",Private Equity,45.92,4.0,2018.0
2018-04-27,1mg,consumer internet,online pharmacy store,gurugram,"sequoia capital, maverick capital ltd and hbm healthcare investments ltd",Private Equity,83.5,4.0,2018.0
2018-04-30,samco,consumer internet,online stock broker,mumbai,bay capital investments and others,Private Equity,62.62,4.0,2018.0
2018-04-30,myloancare,finance,b2c online loans marketplace,gurgaon,sar group,Seed / Angel Funding,8.17,4.0,2018.0
2018-03-01,buddy4studdy,consumer internet,online scholarship portal,noida,cba capital and others,Private Equity,25.05,3.0,2018.0
2018-03-01,urban ladder,e-commerce,online furniture store,bengaluru,"sequoia capital, saif partners and kalaari capital",Private Equity,100.2,3.0,2018.0
2018-03-03,kuvera,consumer internet,online financial planning,bengaluru,"baskar subramanian, saket kumar, gaurav suri and ankit kesarwani",Seed / Angel Funding,0.42,3.0,2018.0
2018-03-04,gramophone,technology,agri-tech,indore,infoedge,Seed/Angel Funding,8.35,3.0,2018.0
2018-03-05,wellthy,healthcare,therapeutics,mumbai,"ranjan pai, apoorva patni, beenext ventures,growx ventures",Private Equity,0.83,3.0,2018.0
2018-03-05,medgenome,healthcare,"genetic screening, dna diagnostics labs & research centers",bengaluru,"hdfc life, hdfc asset management",Private Equity,83.5,3.0,2018.0
2018-03-05,finova capital,consumer internet,online lending,jaipur,sequoia capital,Private Equity,50.1,3.0,2018.0
2018-03-05,hotelogix,technology,cloud based online hotel management software,noida,"vertex ventures, accel partners and saama capital",Private Equity,41.75,3.0,2018.0
2018-03-04,livehealth,consumer internet,health service aggregator platform,pune,nexus venture partners,Seed / Angel Funding,9.19,3.0,2018.0
2018-03-06,ad2pro,technology,"creative design, brand, media and technology platform solutions",chennai,avendus finance pvt. ltd,Debt Funding,81.0,3.0,2018.0
2018-03-06,coverfox,consumer internet,online insurance aggregator,mumbai,aegon nv,Private Equity,63.46,3.0,2018.0
2018-03-08,pepperfry,consumer internet,online furniture shopping store,mumbai,state street global advisors,Private Equity,320.64,3.0,2018.0
2018-03-08,magicpin,consumer internet,hyperlocal discovery,gurugram,trifecta capital,Debt Funding,8.35,3.0,2018.0
2018-03-12,healthcare,consumer internet,healthcare aggregator,mumbai,hr fund,Seed / Angel Funding,8.35,3.0,2018.0
2018-03-13,pinelabs,technology,digital payment platform,mumbai,"actis, altimeter capital",Private Equity,684.7,3.0,2018.0
2018-03-14,availfinance,consumer internet,online lending platform,bengaluru,"matrix partners, bhavish aggarwal, ankit bhati, binny bansal, kunal shah and manish patel.",Private Equity,143.62,3.0,2018.0
2018-03-15,grofers,consumer internet,online grocery shop,gurugram,"softbank, tiger global and apoletto managers.",Private Equity,517.7,3.0,2018.0
2018-03-19,fingerlix,consumer internet,ready to cook food solution,mumbai,alteria capital,Debt Funding,10.94,3.0,2018.0
2018-03-19,karma healthcare,healthcare,technology enabled equitable healthcare for india,udaipur,"1crowd, ankur capital",Seed / Angel Funding,4.17,3.0,2018.0
2018-03-19,zappfresh,food & beverages,online raw meat e-tailer,gurugram,"amit burman, sidbi venture capital",Seed / Angel Funding,25.05,3.0,2018.0
2018-03-19,customersucessbox,technology,customer success software for b2b saas,gurugram,"pi ventures, axilor ventures",Seed / Angel Funding,8.35,3.0,2018.0
2018-03-22,chargebee,technology,subscription billing & recurring payments software,chennai,"insight venture partners, accel partners and tiger global management.",Private Equity,150.3,3.0,2018.0
2018-03-22,i2i funding,consumer internet,online loan platform,noida,sucseed venture partners,Seed / Angel Funding,6.41,3.0,2018.0
2018-03-22,slang labs,technology,voice-based assistant platform,bengaluru,endiya partners,Seed / Angel Funding,10.35,3.0,2018.0
2018-03-26,cash suvidha,consumer internet,online loan platform,delhi,"initia holdings,vipin agarwal and others.",Seed / Angel Funding,8.35,3.0,2018.0
2018-03-28,roadcast,technology,fleet management and asset monitoring platform,delhi,,Private Equity,0.42,3.0,2018.0
2018-03-27,the print,media,news portal,delhi,ratan tata,Seed / Angel Funding,4.47,3.0,2018.0
2018-03-27,driveu,technology,professional car drivers hiring app,bengaluru,amit singhal and unitus seed fund,Private Equity,25.05,3.0,2018.0
2018-02-01,bigbasket,consumer internet,online grocery & food store,bengaluru,"alibaba, helion venture partners, bessemer venture partners, ascent capital",Private Equity,2505.0,2.0,2018.0
2018-02-05,pratilipi,publishing,e-publishing,bengaluru,omidyar network,Private Equity,35.91,2.0,2018.0
2018-02-05,asia institute of medical science,healthcare,super-specialty hospital,faridabad,cdc group plc,Private Equity,8.35,2.0,2018.0
2018-02-06,healthi,healthcare,preventive health checkup,bengaluru,montane ventures,Private Equity,25.89,2.0,2018.0
2018-02-07,swiggy,food and beverages,online food delivery,bengaluru,naspers,Private Equity,835.0,2.0,2018.0
2018-02-08,shape,healthcare,"online portal for diet,fitness and beauty",pune,sandeep mathur,Seed / Angle Funding,835.0,2.0,2018.0
2018-02-08,icertis,consumer internet,enterprise contract management platform,pune,meritech capital partners,Private Equity,417.5,2.0,2018.0
2018-02-09,healthifyme,healthcare,mobile weight loss coach,bengaluru,sistema asia fund,Private Equity,100.2,2.0,2018.0
2018-02-09,rupeek,consumer internet,online gold loan,bengaluru,"accel partners, sequoia capital",Private Equity,57.03,2.0,2018.0
2018-02-12,lendingkart,finance,online lending platform,bengaluru,fullerton financial holdings pte ltd & others,Private Equity,726.45,2.0,2018.0
2018-02-12,cashify,e-commerce,online selling,gurugram,trifecta capital,Debt Funding,7.81,2.0,2018.0
2018-02-13,holachef,food and beverages,online food delivery,mumbai,ashok kumar gajera,Seed / Angle Funding,2.6,2.0,2018.0
2018-02-13,imax program,ed-tech,individualised progressive learning program,bengaluru,"michael & susan dell foundation, lgt impact ventures",Private Equity,112.72,2.0,2018.0
2018-02-14,littlemore,ed-tech,online education platform,chennai,kalpavriksh,Private Equity,25.05,2.0,2018.0
2018-02-14,toppr,ed-tech,online education platform,mumbai,axis capital partners,Private Equity,0.83,2.0,2018.0
2018-02-14,shirsa labs,ed-tech,integrated kids engagement company,mumbai,"dewang neralla, mahesh kothurkar,atul agarwal",Private Equity,4.17,2.0,2018.0
2018-02-14,moneyonmobile,technology,mobile payment platform,mumbai,s7 group,Private Equity,41.75,2.0,2018.0
2018-02-15,petsutra,consumer internet,online pet care products,gurugram,michael patrick hickey,Seed / Angel Funding,1.24,2.0,2018.0
2018-02-15,infibeam,e-commerce,online retailing,ahemadabad,network 18,Private Equity,52.02,2.0,2018.0
2018-02-16,happay,finance,expense management,bengaluru,sequoia and jerry yang,Seed / Angel Funding,0.42,2.0,2018.0
2018-02-16,fincash,finance,fin-tech,mumbai,"mohammed khan, sameer narayan & others",Seed / Angel Funding,1.25,2.0,2018.0
2018-02-19,ayefinance,finance,online lending,gurugram,"hinduja leyland finance, intellegrow",Private Equity,31.73,2.0,2018.0
2018-02-20,agricxlab,agriculture,agri-tech,mumbai,ankur capital,Seed / Angel Funding,4.17,2.0,2018.0
2018-02-21,udaan,e-commerce,b2b marketplace,bengaluru,lightspeed & yuri milner,Private Equity,417.5,2.0,2018.0
2018-02-21,the healthy billions,healthcare,analytics,gurugram,"blume ventures, healthquad and fireside ventures",Private Equity,0.83,2.0,2018.0
2018-02-26,avishkaar box,ed-tech,education,delhi,auxano deals,Private Equity,6.45,2.0,2018.0
2018-02-26,planys technologies,technology,robotic inspectionstartup,chennai,"kris gopalakrishnan, pratithi investment trust, memg family office, s gopal",Private Equity,8.68,2.0,2018.0
